id,title,authors,year,venue,doi,url,search_strings
74,"Log-based, Business-aware REST API Testing",Ding Yang | Ruixiang Qian | Zhao Wei | Zhenyu Chen | Chunrong Fang,2026,arXiv (Cornell University),,https://openalex.org/W7153671616,"String 1, String 2"
75,OASQuali: Automated Quality Analysis of OpenAPI Specifications,Alix; id_orcid 0009-0007-2641-5983 Decrop | Mikel; id_orcid 0009-0002-0858-471X Vandeloise | Patrick Heymans | Gilles Perrouin,2026,Repository of the University of Namur,,https://openalex.org/W7149874777,String 1
76,Systematic Literature Review: RESTful API Testing Using Machine Learning Techniques,Bill A. Otieno | Eric Araka,2026,Journal of the Kenya National Commission for UNESCO,10.62049/jkncu.v5i1.449,https://openalex.org/W7128821404,String 1
77,APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,André F. G. Pereira | Bruno Lima | João Pascoal Faria,2026,ArXiv.org,10.1145/3793654.3793743,https://openalex.org/W7149477065,"String 1, String 2"
78,REST API Testing in DevOps: A Study on an Evolving Healthcare IoT Application,Hassan Sartaj | Shaukat Ali | Julie Marie Gjøby,2024,arXiv (Cornell University),10.48550/arxiv.2410.12547,https://openalex.org/W4403578325,"String 1, String 2"
79,Fuzzing REST APIs in Industry: Necessary Features and Open Problems,Andrea Arcuri | Alexander Poth | Olsi Rrjolli | Philip Garrett | Juan P. Galeotti,2026,ArXiv.org,,https://openalex.org/W7149873978,"String 1, String 2"
80,Generating REST API Tests With Descriptive Names,Philip Garrett | Juan Pablo Galeotti | Andrea Arcuri | Alexander Poth | Olsi Rrjolli,2025,ArXiv.org,10.48550/arxiv.2512.01690,https://openalex.org/W4416966469,"String 1, String 2"
81,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,Thiago Barradas | Aline Paes | Vânia de Oliveira Neves,2025,,10.5753/sbes.2025.9670,https://openalex.org/W4414995224,"String 1, String 2"
82,RBCTest: Leveraging LLMs to Mine and Verify Oracles of API Response Bodies for RESTful API Testing,"Hieu Huynh | Minh-Tri Le | Vu Nguyen | Nguyen, Viet | Nguyen, Vu | Nguyen, Tien N.",2025,arXiv (Cornell University),10.48550/arxiv.2504.17287,https://openalex.org/W4415307209,String 1
83,AUTOMATED WEB APPLICATION TESTING BASED ON ARTIFICIAL INTELLIGENCE,Olga DARII | Maria Beldiga | Tudor Bragaru,2026,Journal of Engineering Science,10.52326/jes.utm.2025.32(4).04,https://openalex.org/W7133634920,"String 1, String 2"
84,Efficient Fuzzing of Web APIs in Embedded Environments,Karl Alemo | Fredrik Orheim,2026,Lund University Publications Student Papers (Lund University),,https://openalex.org/W7159905200,"String 1, String 2"
85,AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL,Tyler Stennett | Myeongsoo Kim | Saurabh Sinha | Alessandro Orso,2025,ArXiv.org,10.48550/arxiv.2501.08600,https://openalex.org/W4406483037,"String 1, String 2"
86,SmartAPIForge: A No-Code Platform for Automated REST API Generation from Natural Language,Divya R | S Kavidarshini | Santhosh P | Shashank S,2025,IJARCCE,10.17148/ijarcce.2025.141262,https://openalex.org/W7115013374,String 1
87,From Requirements to Executable Tests: LLM-Based System Test Generation for REST APIs,Jaroslav Kochanovskis | Asta Slotkiene,2026,Vilnius University Open Series,10.15388/lmitt.2026.13,https://openalex.org/W7160830405,String 1
